regNo,make,model,year,customerID
50 J4C08,Subaru,Outback,2011,8291
83 5TU4RT,Mazda,3,2012,1872
AF66 XFP,Ford,F-150,2016,4668
AR16 WJY,Mini,One,2016,6473
BD62 EWT,Kia,Rio,2012,6275
BM18 TWY,Mazda,CX-3,2018,4917
BP67 COO,Bentley,Continental,2017,1762
C4LI 23,Ferrari,California,2015,9579
CN61 XXH,Mitsubishi,Outlander,2011,8869
CR10 WQI,Kia,Sportage,2010,1872
DE17 ENG,Volvo,XC90,2017,6816
FN12 BXW,BMW,1 Series,2012,1872
FO66 VMG,Ford,Fiesta,2016,2539
FS63 RXI,Volkswagen,Golf,2013,3345
GE15 KWE,Nissan,Qashqai,2015,8404
GZ68 VKP,Aston Martin,Vantage,2018,5475
HQ68 KOX,Toyota,Corolla,2018,4668
IM15 PMJ,Volvo,V40,2015,1566
J3NN 338,Citroen,C3,2014,8127
KG19 YBI,Nissan,Mokka,2019,7486
KP67 LRK,Nissan,Qashqai,2017,7563
LH65 MZX,Fiat,500,2015,5441
M4S Q4TT,Maserati,Quattroporte,2018,4707
M4X PRR,Mitsubishi,Mirage,2012,1025
NJ11 DSF,Aston Martin,Virage,2011,2026
NR13 DIC,Peugeot,308,2013,4730
P921 BCP,Toyota,Celica,2015,8127
QA16 NAX,Hyundai,ix35,2016,3345
QE66 GTT,Mini,Hatch,2016,1189
QI17 JUC,BMW,M2,2017,5475
QQ16 UKE,Bentley,Mulsanne,2016,1762
QR14 RGL,Suzuki,Swift,2014,8291
RS67 KPE,BMW,X1,2017,2026
SF11 HQS,Ford,Fiesta,2011,5786
SH63 MWG,Kia,Sorento,2013,1566
SO13 PWJ,Mitsubishi,Lancer,2013,1025
SR14 THK,Nissan,Juke,2014,4730
TA19 POK,Ford,Focus,2019,8723
TH67 CHK,Fiat,500,2017,5786
THW 83,Audi,A4,2018,4707
TN62 XUS,Saab,9-5,2012,7380
UY11 QPB,Nissan,Juke,2011,7416
V10 L3T,Mercedes,C Class,2011,2762
VX13 LIE,Nissan,Micra,2013,5475
W33 COL,Maserati,Ghibli,2015,4707
WC64 TJE,Vauxhall,Astra,2014,8869
WH10 OVH,Toyota,Yaris,2010,4668
WR13 QFR,Audi,A6,2013,6473
WZ19 EVI,Ferrari,488,2019,4591
XV63 ZAS,Volkswagen,Passat,2013,3345
YE12 WUQ,Subaru,Forester,2012,2539
YU15 CQT,Peugeot,208,2015,8869
ZC62 LCH,Toyota,Prius,2012,1189
ZN68 OXT,Citroen,C4,2018,5786
